STT	Lo¹i b¸n	Hµng hot	ItemGenre	DetailType	ParticularType	Series	Level	Gi¸ thùc	Gi¸ cò(gi¶)	Thêi h¹n	TÝnh kÕt thóc thêi h¹n	Ghi chó(kh«ng load)
1 	5	0	5	7	0	5	0	450	450	129600	0	ngua80
2 	5	0	5	8	0	5	0	450	450	129600	0	ngua80
3 	5	0	5	9	0	5	0	450	450	129600	0	ngua80
4 	5	0	5	10	0	5	0	450	450	129600	0	ngua80
5 	5	0	5	11	0	5	0	500	500	129600	0	nguaCD
6 	5	0	5	12	0	5	0	650	650	129600	0	nguaPV
7 	2	1	2	9	0	5	0	150	150	43200	0	thodiaphu
8 	2	1	2	10	0	5	0	200	200	43200	0	thanhanhphu
9	2	0	2	13	0	5	0	300	300	43200	0	volammt
10	2	0	2	14	0	5	0	300	300	43200	0	taytuykinh
11	2	1	3	17	0	5	0	100	100	43200	0	knb
12	3	1	3	13	0	5	0	50	50	0	1	thuytinh
13	3	1	3	14	0	5	0	50	50	0	1	thuytinh
14	3	1	3	15	0	5	0	50	50	0	1	thuytinh
15	3	1	3	20	0	5	0	30	30	0	1	thbt
16	2	1	2	45	0	5	0	20	20	43200	0	tienthaolo
17	2	1	2	49	0	5	0	110	110	43200	0	ttldacbiet
18	2	0	2	46	0	5	0	25	25	43200	0	thiensonbl
19	2	0	2	48	0	5	0	80	80	43200	0	quehoatuu
20	2	0	2	61	0	5	0	25	25	43200	0	longhuyet
21	2	0	2	50	0	5	0	5	5	43200	0	manhSHXT
22	2	0	2	51	0	5	0	45	45	43200	0	manhSHXT
23	3	1	2	3	0	5	0	10	10	43200	0	bch90
24	3	1	2	53	0	5	0	12	12	43200	0	bch120
25	2	1	2	52	0	5	0	200	200	43200	0	morongruong
26	6	0	0	11	12	5	1	50	50	21600	0	matna
27	6	0	0	11	14	5	1	50	50	21600	0	matna
28	6	0	0	11	15	5	1	60	60	21600	0	matna
29	6	0	0	11	16	5	1	70	70	21600	0	matna
30	6	0	0	11	22	5	1	70	70	21600	0	matna
31	6	0	0	11	88	5	1	75	75	21600	0	matna
32	6	0	0	11	90	5	1	75	75	21600	0	matna
33	6	0	0	11	21	5	1	75	75	21600	0	matna
34	6	0	0	11	92	5	1	75	75	21600	0	matna
35	6	0	0	11	17	5	1	80	80	21600	0	matna
36	6	0	0	11	20	5	1	80	80	21600	0	matna
37	6	0	0	11	91	5	1	80	80	21600	0	matna
38	6	0	0	11	95	5	1	90	90	21600	0	matna
39	6	0	0	11	96	5	1	90	90	21600	0	matna
40	6	0	0	11	18	5	1	100	100	21600	0	matna
41	6	0	0	11	89	5	1	100	100	21600	0	matna
42	6	0	0	11	93	5	1	100	100	21600	0	matna
43	6	0	0	11	94	5	1	100	100	21600	0	matna
44	6	0	0	11	199	5	1	120	120	21600	0	matna
45	6	0	0	11	200	5	1	120	120	21600	0	matna
46	6	0	0	11	252	5	1	120	120	21600	0	matna
47	6	0	0	11	253	5	1	120	120	21600	0	matna
48	6	0	0	11	254	5	1	120	120	21600	0	matna
49	6	0	0	11	255	5	1	120	120	21600	0	matna
50	6	0	0	11	256	5	1	120	120	21600	0	matna
51	6	0	0	11	257	5	1	120	120	21600	0	matna
52	6	0	0	11	258	5	1	120	120	21600	0	matna
53	6	0	0	11	259	5	1	120	120	21600	0	matna
54	6	0	0	11	469	5	1	150	150	21600	0	matna
55	6	0	0	11	470	5	1	150	150	21600	0	matna
56	6	0	0	11	555	5	1	150	150	21600	0	matna
57	2	0	3	34	0	5	0	25	25	0	1	lbPLD
58	1	0	5	29	0	5	0	10	10	43200	0	thedatcuoc
59	2	0	2	83	0	5	0	30	30	0	1	stg
60 	4	0	2	59	0	5	0	1500	1500	0	1	bikip120
61 	4	0	4	3	0	5	0	200	200	43200	0	bikip
62	4	0	4	4	0	5	0	200	200	43200	0	bikip
63	4	0	4	5	0	5	0	200	200	43200	0	bikip
64	4	0	4	6	0	5	0	200	200	43200	0	bikip
65	4	0	4	7	0	5	0	200	200	43200	0	bikip
66	4	0	4	8	0	5	0	200	200	43200	0	bikip
67	4	0	4	9	0	5	0	200	200	43200	0	bikip
68	4	0	4	10	0	5	0	200	200	43200	0	bikip
69	4	0	4	11	0	5	0	200	200	43200	0	bikip
70	4	0	4	12	0	5	0	200	200	43200	0	bikip
71	4	0	4	13	0	5	0	200	200	43200	0	bikip
72	4	0	4	14	0	5	0	200	200	43200	0	bikip
73	4	0	4	15	0	5	0	200	200	43200	0	bikip
74	4	0	4	16	0	5	0	200	200	43200	0	bikip
75	4	0	4	17	0	5	0	200	200	43200	0	bikip
76	4	0	4	18	0	5	0	200	200	43200	0	bikip
77	4	0	4	19	0	5	0	200	200	43200	0	bikip
78	4	0	4	20	0	5	0	200	200	43200	0	bikip
79	4	0	4	21	0	5	0	200	200	43200	0	bikip
80	4	0	4	22	0	5	0	200	200	43200	0	bikip
81	4	0	4	23	0	5	0	200	200	43200	0	bikip
82	4	0	4	24	0	5	0	200	200	43200	0	bikip
83	4	0	4	25	0	5	0	200	200	43200	0	bikip
84	4	0	4	26	0	5	0	200	200	43200	0	bikip
85	4	0	4	27	0	5	0	200	200	43200	0	bikip
86	4	0	4	28	0	5	0	200	200	43200	0	bikip
87	4	0	4	29	0	5	0	200	200	43200	0	bikip
88	4	0	4	30	0	5	0	200	200	43200	0	bikip
89 	5	0	5	13	0	5	0	2000	2000	129600	0	nguaBTieu
90 	2	0	4	63	0	5	0	1000	1000	0	1	Tinvatmp
