Name	Genre	Detail	Image	ObjId	Width	Height	Intro	Price	CanSale	CanRemove	Stack	ShortKey
HuyÒn Tinh Kho¸ng Th¹ch 	3	0	\spr\item\script\item_xuanjingkuangshi.spr	425	1	1	Lµ 1 trong nh÷ng vËt liÖu quan träng ®Ó kİch ho¹t trang bŞ mµu xanh, kh¶m n¹m, chÕ t¹o Trang bŞ HuyÒn Tinh vµ trang bŞ Hoµng Kim.	2000	1	0	50	0
HuyÒn ThiÕt Nguyªn Kho¸ng	3	1	\spr\item\script\item_xuantiekuang.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 1<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
Khæng T­íc Nguyªn Th¹ch 	3	2	\spr\item\script\item_kongqueshi.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 1<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
MËt Ng©n Nguyªn Kho¸ng	3	3	\spr\item\script\item_miyinkuang.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow> thuéc tİnh hiÖn 2<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
Phï Dung Nguyªn Th¹ch 	3	4	\spr\item\script\item_furongshi.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 2<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
Chu Sa Nguyªn Kho¸ng	3	5	\spr\item\script\item_zhushakuang.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh hiÖn 3<color> trªn trang bŞ (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
Chung Nhò Nguyªn Th¹ch 	3	6	\spr\item\script\item_zhongrushi.spr	425	1	1	Mét lo¹i <color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ lµm thay ®æi <color=yellow>thuéc tİnh Èn 3<color> trªn trang bŞ cïng Ngò hµnh (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	50	0
HuyÒn ThiÕt kho¸ng	3	7	\spr\item\script\item_xuantiekuang.spr	425	1	1	<color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ kh¶m lªn Trang bŞ HuyÒn Tinh cïng ngò hµnh ®Ó thay ®æi <color=yellow>thuéc tİnh hiÖn 1<color><enter> (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	0	0
Khæng T­íc Th¹ch	3	8	\spr\item\script\item_kongqueshi.spr	425	1	1	<color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ kh¶m lªn Trang bŞ HuyÒn Tinh cïng ngò hµnh ®Ó thay ®æi <color=yellow>thuéc tİnh Èn 1<color><enter> (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	0	0
MËt Ng©n kho¸ng	3	9	\spr\item\script\item_miyinkuang.spr	425	1	1	<color=yellow>Kho¸ng th¹ch cã thuéc tİnh<color>, cã thÓ kh¶m lªn Trang bŞ HuyÒn Tinh cïng ngò hµnh ®Ó thay ®æi <color=yellow>thuéc tİnh hiÖn 2<color><enter> (NhÊn chuét ph¶i xem chi tiÕt) 	2000	1	0	0	0
